Tourney,Reg_Season,Rankings,Coaches
Northwestern,Virginia,Florida State,UC-Irvine
Washington,Lehigh,UC-Irvine,Murray State
Georgia State,North Dakota,Murray State,Georgia
UC Davis,Fairleigh Dickinson,Georgia,UC-Davis
Troy,Xavier,UC-Davis,Western Michigan
Lehigh,Wyoming,Central Connecticut State,Alabama
UNLV,UCLA,Western Michigan,Seattle
Texas Tech,Troy,Alabama,Rider
Massachusetts,Oakland,Mississippi,Detroit
Louisiana-Monroe,Radford,Seattle,Alabama State
Binghamton,Montana State,Rider,Florida Atlantic
Abilene Christian,Boise State,Alabama State,Seton Hall
Mississippi State,Samford,Florida Atlantic,Sam Houston State
Morgan State,Wichita State,Southern California,ETSU
Kansas,Prairie View,Seton Hall,Weber State
Fresno State,Loyola (IL),Sam Houston State,North Dakota State
Iowa State,South Dakota State,Weber State,Quinnipiac
East Tennessee State,Georgia State,North Dakota State,Oklahoma State
Pepperdine,Central Florida,Quinnipiac,Coastal Carolina
Maryland,Bucknell,Oklahoma State,Penn
Clemson,IUPUI,Coastal Carolina,UCSB
IUPUI,Niagara,Fresno State,USC Upstate
Southeastern Louisiana,Virginia Commonwealth,Northwestern,UNLV
Texas-Arlington,Tulane,Southern Utah,LIU
Ohio State,Maryland,Manhattan,Fresno State
Florida,Alcorn State,Connecticut,Northwestern
Illinois State,McNeese State,Texas-El Paso,Southern Utah
LSU,Texas,SIU Edwardsville,Manhattan
Siena,Little Rock,New Mexico,New Mexico
Boise State,Stony Brook,Alabama A&M,Alabama A&M
Wake Forest,Oklahoma,Sacramento State,Sacramento State
Villanova,Tennessee State,Birmingham-Southern,Birmingham-Southern
Missouri State,George Mason,UCLA,Fairleigh Dickinson
George Washington,Auburn,Xavier,New Hampshire
Oregon,Colorado,Fairleigh Dickinson,UCLA
Mississippi,Stanford,New Hampshire,Xavier
Gonzaga,Milwaukee,Montana State,Montana State
Austin Peay,Vanderbilt,Oakland,Oakland
Cornell,Texas State,Radford,Radford
UC Santa Barbara,Yale,Boise State,Boise State
Washington State,Baylor,Utah Valley,Utah Valley
Tennessee State,Siena,Bowling Green State,Pitt
Georgia,Eastern Illinois,Tulane,Bowling Green State
Temple,East Carolina,Furman,Furman
New Mexico State,Penn State,Oklahoma,Tulane
New Orleans,Buffalo,NJIT,Oklahoma
Central Connecticut State,Utah,Grand Canyon,NJIT
Colgate,Cal Poly,Vanderbilt,Grand Canyon
Utah State,Gardner-Webb,Milwaukee,Milwaukee
Louisville,Texas-Arlington,Texas State,Vanderbilt
Princeton,Texas Christian,Baylor,Texas State
Alabama State,Saint Louis,Eastern Illinois,Baylor
DePaul,La Salle,Buffalo,Eastern Illinois
Indiana,Western Kentucky,Utah,Buffalo
Davidson,Alabama-Birmingham,Maryland-Eastern Shore,Utah
Cal State Bakersfield,Southern,Texas-Arlington,Maryland-Eastern Shore
North Dakota State,Central Michigan,Western Kentucky,Texas-Arlington
Tulane,Cal State Fullerton,Central Michigan,Western Kentucky
St. John's,Illinois-Chicago,Savannah State,Central Michigan
McNeese State,Pennsylvania,Pennsylvania,Savannah State
Lipscomb,Wofford,Kentucky,Iowa
Florida International,Nevada,Iowa,Kentucky
Central Florida,Iowa,Rhode Island,Rhode Island
Holy Cross,Kentucky,Arkansas,Arkansas
Brigham Young,Cornell,North Carolina Central,North Carolina Central
